"serial","experiment_number","datetime","path","experiment_name","s916854.q3290.consent.1","s916854.q3289.mturk_ID","s.916854.submit","s.916854.start","s.916854.stamp","s.916854.length","s597418.q3178.scen1_1","s597418.q3179.scen1_2","s.597418.submit","s.597418.start","s.597418.stamp","s.597418.length","s353562.q3184.scen2_1","s353562.q3185.scen2_2","s.353562.submit","s.353562.start","s.353562.stamp","s.353562.length","s835338.q3190.scen3_1","s835338.q3191.scen3_2","s835338.q3192.scen3_3","s835338.q3193.scen3_4","s835338.q3194.scen3_5","s.835338.submit","s.835338.start","s.835338.stamp","s.835338.length","s678612.q3199.scen4_1","f.s678612.q3199.scen4_1","s678612.q3200.scen4_2","s678612.q3201.scen4_3","s.678612.submit","s.678612.start","s.678612.stamp","s.678612.length","s873281.q3260.hard_scen1_1","s873281.q3261.hard_scen1_2","s.873281.submit","s.873281.start","s.873281.stamp","s.873281.length","s576721.q3219.hard_scen2_1","s576721.q3220.hard_scen2_2","s.576721.submit","s.576721.start","s.576721.stamp","s.576721.length","s196727.q3230.hard_scen3_1","s196727.q3231.hard_scen3_2","s196727.q3232.hard_scen3_3","s196727.q3233.hard_scen3_4","s196727.q3234.hard_scen3_5","s.196727.submit","s.196727.start","s.196727.stamp","s.196727.length","s292542.q3239.hard_scen4_1","f.s292542.q3239.hard_scen4_1","s292542.q3240.hard_scen4_2","s292542.q3241.hard_scen4_3","s.292542.submit","s.292542.start","s.292542.stamp","s.292542.length","s799779.q3207.easy_ST_1","s799779.q3208.easy_ST_2","s.799779.submit","s.799779.start","s.799779.stamp","s.799779.length","s233454.q3246.hard_ST_1","s233454.q3247.hard_ST_2","s233454.q3248.hard_ST_3","s233454.q3249.hard_ST_4","s233454.q3250.hard_ST_5","s233454.q3251.hard_ST_6","s233454.q3252.hard_ST_7","s233454.q3253.hard_ST_8","s233454.q3254.hard_ST_9","s233454.q3255.hard_ST_10","s.233454.submit","s.233454.start","s.233454.stamp","s.233454.length","s177542.q3214.macarth","f.s177542.q3214.macarth","s.177542.submit","s.177542.start","s.177542.stamp","s.177542.length","s488174.q3158.brazil1.Q1","s488174.q3158.brazil1.Q2","s488174.q3158.brazil1.Q3","s488174.q3158.brazil1.Q4","s488174.q3158.brazil1.Q5","s488174.q3158.brazil1.Q6","s488174.q3158.brazil1.Q7","s488174.q3159.brazil2.Q8","s488174.q3159.brazil2.Q9","s488174.q3159.brazil2.Q10","s488174.q3159.brazil2.Q11","s488174.q3159.brazil2.Q12","s488174.q3159.brazil2.Q13","s488174.q3159.brazil2.Q14","s.488174.submit","s.488174.start","s.488174.stamp","s.488174.length","s134398.q3266.Income","f.s134398.q3266.Income","s134398.q3267.Household Size","f.s134398.q3267.Household Size","s134398.q3268.Education","f.s134398.q3268.Education","s.134398.submit","s.134398.start","s.134398.stamp","s.134398.length","s458795.q3143.Sex","f.s458795.q3143.Sex","s458795.q3144.Age","s458795.q3145.Month of Birth","f.s458795.q3145.Month of Birth","s458795.q3146.Marital","f.s458795.q3146.Marital","s458795.q3147.Income","f.s458795.q3147.Income","s458795.q3148.Education","f.s458795.q3148.Education","s458795.q3149.Current Employment","f.s458795.q3149.Current Employment","s458795.q3150.Current Occupation","f.s458795.q3150.Current Occupation","s458795.q3151.Children","f.s458795.q3151.Children","s458795.q3152.Race","f.s458795.q3152.Race","s458795.q3153.Political","f.s458795.q3153.Political","s.458795.submit","s.458795.start","s.458795.stamp","s.458795.length"
132493,552,2015-03-16 11:25:44,NA,"experiment_Mar15_20","Y","AUAN582MLI96N","2015-03-16 11:26:23","2015-03-16 11:25:45","2015-03-16 11:26:23","38sec","Y","5% I don't see affecting much.  If anything I'll reduce my retirement investments if need be. Other than that it would be a very minimal effect overall.","2015-03-16 11:33:06","2015-03-16 11:26:24","2015-03-16 11:33:06","402sec","Y","I would take it out of my bank account.  I try to save up a little plus I would have that leftover from my paycheck and then some and it wouldn't be a big deal.","2015-03-16 11:34:07","2015-03-16 11:33:07","2015-03-16 11:34:07","60sec","N","Just pay from whats in my checking account.  The 150 dollars is not a big financial impact.I would not need to go into savings.","N","N","Easy decision because $150 is not a lot of money, and I have that readily available if its needed.  This amount is readily available in my monthly expense planning.","2015-03-16 11:35:54","2015-03-16 11:34:07","2015-03-16 11:35:54","107sec","opt_2","2.","Y","Probably, 399 is a lot up front on short notice, and I like the 40 dollars a month rather than a big chunk at once, but I could pay 399 if needed at once, just depends.","2015-03-16 11:36:58","2015-03-16 11:35:54","2015-03-16 11:36:58","64sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-03-16 11:36:58","2015-03-16 11:36:58","NAsec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132494,552,2015-03-16 11:25:44,"3","experiment_Mar15_20","Y","A2L6O958YPEWEX","2015-03-16 11:26:48","2015-03-16 11:25:45","2015-03-16 11:26:48","63sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","It would impact leisure and travel plans.  I already live on a tight budget with little money left over after main living expenses i.e., electricity, food, and gas.","2015-03-16 11:28:41","2015-03-16 11:26:49","2015-03-16 11:28:41","112sec","N","It would require me to either use a credit card or get a loan if possible and the worst case of borrowing from a friend or family member.  Yes, sacrifices would be made in order to afford the additional bill. Probably cutting back on food choices, errands to be reduced to doing more in one day vs. a few days.  Limit excess driving that way. Long lasting hardship yes due to how long it would take to pay a debt like this off with long interest rates or credit card interest rates compounding.","2015-03-16 11:31:50","2015-03-16 11:28:42","2015-03-16 11:31:50","188sec","N","Credit card debt at its finest.  I really have no savings to count on liquidating.  Applying for a loan to get it fixed is the only other means I can think of.","Y","N","I have to have a vehicle to get from A to B where I live.  No car means no work, no groceries, no taking care of anything.  It would be difficult however, a person has to make cutbacks to afford the cost.","2015-03-16 11:34:46","2015-03-16 11:31:51","2015-03-16 11:34:46","175sec","opt_2","2.","N","Having to replace a refrigerator unexpectedly would be a burden and a must have item.  It would be worth the interest when no other financial means is available.","2015-03-16 11:35:58","2015-03-16 11:34:47","2015-03-16 11:35:58","71sec","I suppose justified social trust would be my bank protecting my private information and making sure my accounts are secure when doing online banking such as transferring money or paying bills from my account.","Social trust probably would also apply to my mailman making sure that when I have packages that do not fit into my mailbox that they will deliver it to my front door vs. leaving my mailbox open with a package hanging out of it.","2015-03-16 11:40:20","2015-03-16 11:35:58","2015-03-16 11:40:20","262sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"3","2015-03-16 11:43:22","2015-03-16 11:43:03","2015-03-16 11:43:22","19sec","5","1","3","1","2","1","3","1","1","1","1","1","3","4","2015-03-16 11:44:38","2015-03-16 11:43:22","2015-03-16 11:44:38","76sec",4,"$30,000 to $39,999",2,"2",4,"High school diploma or the equivalent (for example: GED)","2015-03-16 11:44:55","2015-03-16 11:44:39","2015-03-16 11:44:55","16sec",2,"Female","1966",11,"November",2,"Living Together",4,"$30,000 to $39,999",4,"High school diploma or the equivalent (for example: GED)",3,"Self-employed",13,"Labor/production/construction/transportation",1,"None",3,"Caucasian/White",3,"Independent","2015-03-16 11:45:43","2015-03-16 11:44:56","2015-03-16 11:45:43","47sec"
132495,552,2015-03-16 11:25:50,"4","experiment_Mar15_20","Y","ASCKK20VO37CB","2015-03-16 11:26:01","2015-03-16 11:25:50","2015-03-16 11:26:01","11sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","I currently live paycheck to paycheck. I would have to cut the only leisurely activity expense we have each month, which is my son's sports.","2015-03-16 11:26:56","2015-03-16 11:26:01","2015-03-16 11:26:56","55sec","N","I would ask family members to borrow it. It would make a long term impact, and we would need to sacrifice my son's sports in order to pay this debt. ","2015-03-16 11:29:03","2015-03-16 11:26:57","2015-03-16 11:29:03","126sec","N","I do not have the cash to pay for that amount up front. I would see if the mechanic would take payments or borrow money. It would not be an easy decision. ","N","Y","I would either need to get a loan, get the mechanic to take payments, or let the car go until something bigger happened. It would be a difficult decision to make because I need to have a safe and reliable vehicle to transport my son to his medical appointments. ","2015-03-16 11:33:29","2015-03-16 11:29:03","2015-03-16 11:33:29","266sec","opt_2","2.","N","Yes, it would be worth the interest in this case. This gives me a chance to own a new appliance without needing to wait to save up the money to buy it. I have done this many times in order to replace an appliance. ","2015-03-16 11:34:34","2015-03-16 11:33:29","2015-03-16 11:34:34","65sec",NA,NA,NA,NA,NA,NA,"I have to trust my son's bus driver on a daily basis to drive him to and from school. Seeing how he responded to an emergency situation on the bus has justified this social trust. ","My son has medical issues, so it is important that we can trust the school nurse. She justifies this trust by notifying me every time my son goes to the nurse's office. ","With my son's many surgeries, there is nothing better than having a surgeon who goes out of his way to follow up with us on a Saturday. He has instilled and justified my trust in healthcare. ","As a cardholder of a major corporation, I was notified when their security was breached. Although they could have easily ignored or denied the problem, they offered credit monitoring for 5 years to ensure my information was not misused. ","Never being on a subway before, and having my young son with me I was confused as to what platform I needed to be on. A member of the transit system assisted me, and explained how to find this information on the boards. Even though he was very busy, he did not get upset or short with me. ","My professor at the university had given me an incorrect grade and it negatively affected my GPA. Although they are not supposed to change grades once they are posted, she took the blame stating she made a mistake and changed the grade rather than hiding it and making my GPA suffer. ","My college under-awarded me financial aid, and I would have never known. They could have stolen the funds from me, but instead explained the circumstances and credited my account. ","When my son was hospitalized he was given an overdose of his medication by a nurse. The next shift noticed the error, and the executives from the hospital spoke to us and removed the nurse from my son's care. ","My electric company had been over-reporting our cost of usage for over 10 years, charging us as a business. They credited our account for the difference from the business cost to the residential cost for the entire 10 years, and admitted their mistake. ","I was pulled over by a policeman, and with all the negative attention towards police officers these days, my son started to fear them. The officer was polite and explained why he stopped me, and saw my son looked scared. The officer then went to his car and brought back my son a sticker that looks like a badge, and spoke to my son like my son was a hero. He made my son want to be an officer. There are good cops out there still.","2015-03-16 11:50:02","2015-03-16 11:34:35","2015-03-16 11:50:02","927sec",3,"3","2015-03-16 11:52:09","2015-03-16 11:52:01","2015-03-16 11:52:09","8sec","4","1","4","1","2","1","2","1","3","2","1","1","2","2","2015-03-16 11:53:03","2015-03-16 11:52:09","2015-03-16 11:53:03","54sec",5,"$40,000 to $49,999",3,"3",8,"Bachelor's degree (for example: BA, AB, BS)","2015-03-16 11:53:13","2015-03-16 11:53:03","2015-03-16 11:53:13","10sec",2,"Female","1979",10,"October",3,"Married",5,"$40,000 to $49,999",8,"Bachelor's degree (for example: BA, AB, BS)",2,"Employed 3 or more years for the same company",1,"Administrative and office support",2,"1",3,"Caucasian/White",3,"Independent","2015-03-16 11:53:44","2015-03-16 11:53:14","2015-03-16 11:53:44","30sec"
132496,552,2015-03-16 11:26:17,"1","experiment_Mar15_20","Y","A20ALQT1HIVSAH","2015-03-16 11:26:57","2015-03-16 11:26:19","2015-03-16 11:26:57","38sec","N","Right now I only make enough to get by. It would hurt my finances greatly. The kids wouldn't be able to do anything fun with their friends either","2015-03-16 11:28:09","2015-03-16 11:26:57","2015-03-16 11:28:09","72sec","Y","I can pull it from the savings because I at least can do that much. I wouldn't feel good about it becasue there could be another emergency happen, but it would be doable. ","2015-03-16 11:29:47","2015-03-16 11:28:10","2015-03-16 11:29:47","97sec","Y","I would take the money from my savings that I have in money envelopes becuase I wouldn't want to pay interest on something. That just seems silly to me. ","N","N","I have ran into issues before when I decided to just ignore a car problem and that is not something that I'm willing to do again. ","2015-03-16 11:40:27","2015-03-16 11:29:47","2015-03-16 11:40:27","640sec","opt_1","1.","Y","No I'm not making that much in interest. That is just ridiculous if I actually have the cash available to do it even if it will reduce my savings a lot. ","2015-03-16 11:42:57","2015-03-16 11:40:27","2015-03-16 11:42:57","150sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I trust our schools because they take care of my children all day long and help keep them safe. ","I trust our children's hospital because we have several children who always have to go there for various reasons and they are so good to them. ","2015-03-16 11:44:02","2015-03-16 11:42:57","2015-03-16 11:44:02","65sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"3","2015-03-16 11:51:53","2015-03-16 11:51:47","2015-03-16 11:51:53","6sec","5","1","1","1","5","1","5","1","1","3","5","1","5","5","2015-03-16 11:54:17","2015-03-16 11:51:54","2015-03-16 11:54:17","143sec",3,"$20,000 to $29,999",5,"5",7,"Associate degree (for example: AA, AS)","2015-03-16 11:54:50","2015-03-16 11:54:18","2015-03-16 11:54:50","32sec",2,"Female","1977",5,"May",4,"Divorced",3,"$20,000 to $29,999",7,"Associate degree (for example: AA, AS)",3,"Self-employed",4,"Business and financial operations",5,"4",3,"Caucasian/White",3,"Independent","2015-03-16 11:56:23","2015-03-16 11:54:50","2015-03-16 11:56:23","93sec"
132497,552,2015-03-16 11:26:17,NA,"experiment_Mar15_20","Y","ACP50SFS4WW3Y","2015-03-16 11:27:06","2015-03-16 11:26:19","2015-03-16 11:27:06","47sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","It would mostly affect my leisure time and travel plans, also would affect my ability to save money which  is close to impossible right now. I think I could survive, but there would be absolutely no money  left over.","2015-03-16 11:29:12","2015-03-16 11:27:07","2015-03-16 11:29:12","125sec","Y","I could borrow the money from the bank I believe.It would cause some short term financial problems, I would have to pay it back over thecourse of a  year so that would be a problem as far as leisure is concerned but I think I would be able to do it.","2015-03-16 11:31:13","2015-03-16 11:29:13","2015-03-16 11:31:13","120sec","N","I dont havethat much money right  now except in 401k but I cant really get that money without paying a huge penalty. So its an easy choice considering I dont really have any other choice.","Y","N","I think I would have to get it fixed, so it would be a fairly easy decision to make because I have to have my car. i would  borrow the money and pay it back as soon as i could.","2015-03-16 11:35:02","2015-03-16 11:31:14","2015-03-16 11:35:02","228sec","opt_2","2.","N","Yes, because again I would have no other choice. if i dont have the money I have to borrow it because I need a refrigerator. Its not something I absolutely have to have like a car but it is something I almost have to have.","2015-03-16 11:37:06","2015-03-16 11:35:03","2015-03-16 11:37:06","123sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-03-16 11:37:06","2015-03-16 11:37:06","NAsec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132498,552,2015-03-16 11:26:34,NA,"experiment_Mar15_20","Y","A38O2SLKFHKW97","2015-03-16 11:28:25","2015-03-16 11:26:35","2015-03-16 11:28:25","110sec","Y","I tend to live below my means and don't stretch my budget a 5% pay cut would not be a big deal for me and I do not believe I would have to cut back anywhere except maybe contributions to a savings account. ","2015-03-16 11:30:14","2015-03-16 11:28:26","2015-03-16 11:30:14","108sec","Y","I have a rainy day fund for this purpose, I have about 3 months of expenses saved in that account, a $200 withdraw would not be a problem for me. I would then plan to contribute $200 back the rainy day fund when i was able to do so. ","2015-03-16 11:31:24","2015-03-16 11:30:15","2015-03-16 11:31:24","69sec","Y","I have a rainy day fund so I would be able to pull out the money from there and would be able to pay for the service to the car. I would be able to go to the bank and make a withdraw without any problems. I could do that or simply write a check from my savings at my bank. ","N","N","Since I know I have the money in savings it was quite easy for to make the decision. I would rather just pay it and get it out of the way and not have to pay a lot interest by delaying the payment. Even though monthly payments are smaller and might be easier at first in the long run I would be paying more than the initial $150 which is not ideal to me at all. I would much rather just pay in full and not worry about any amount of interest. This decision would be very easy for me to make, I would never consider not having the repair made because that could lead to some big problems. Especially because if the car did break down again I would most likely be out much more than $150 so it seems like it would be smart to just get the repair out of the way. ","2015-03-16 11:44:43","2015-03-16 11:31:25","2015-03-16 11:44:43","798sec","opt_1","1.","Y","No I don't think so. It is nearly one hundred dollars over the cost of the refrigerator, I would rather just pay the cost and than worry about having to pay interest over 12 months. I don't see the benefit of small payments when you just end up paying more in the long run. ","2015-03-16 11:47:40","2015-03-16 11:44:44","2015-03-16 11:47:40","176sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-03-16 11:47:41","2015-03-16 11:47:41","NAsec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132499,552,2015-03-16 11:27:46,"3","experiment_Mar15_20","Y","AKLG79EPGKTDP","2015-03-16 11:28:09","2015-03-16 11:27:47","2015-03-16 11:28:09","22sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","I would not be able to continue maintaining my current lifestyle as I already had a pretty tight budget. In order to work around this budget cut, I would have to limit leisure money to a bare minimum and cut back on housing.","2015-03-16 11:29:35","2015-03-16 11:28:10","2015-03-16 11:29:35","85sec","N","This immediate expense would definitely cause me long-lasting financial hardship. The only options i would have to go about obtaining this money would be to borrow from a family member or take out a loan in order to afford it. In the long-term I would have to sacrifice some of my own budget, such as leisure money, in order to pay back what I owed to those I borrowed from.","2015-03-16 11:30:49","2015-03-16 11:29:36","2015-03-16 11:30:49","73sec","N","I would be unable to pay the full amount in cash, so I would resort to either taking out a loan or borrowing from a family member and paying them back when I could come up with the difference at a later time.","Y","Y","This would be a rather difficult decision for me to make, in the event of a possible breakdown of my car. However, if I foresee having no traveling outside of my immediate area needed, then I would also have access to towing service and the like.","2015-03-16 11:32:47","2015-03-16 11:30:50","2015-03-16 11:32:47","117sec","opt_2","2.","Y","I believe, for the second option, the interest would be worth paying in this case, as it is not likely I would have the money upfront to purchase the refrigerator outright, and I am strict about on-time payments to avoid unnecessary fees.","2015-03-16 11:33:49","2015-03-16 11:32:48","2015-03-16 11:33:49","61sec","Public transportation is dedicated to prompt arrivals and departures, only exempted in unforeseen circumstances that could otherwise not be prevented.","Schools value to teach students necessary topics of interest in order for them to succeed later in life and set them up for greater objectives and goals.","2015-03-16 11:35:30","2015-03-16 11:33:50","2015-03-16 11:35:30","100sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"2","2015-03-16 11:37:46","2015-03-16 11:37:34","2015-03-16 11:37:46","12sec","1","3","2","4","3","4","3","5","4","4","3","2","3","3","2015-03-16 11:38:35","2015-03-16 11:37:46","2015-03-16 11:38:35","49sec",4,"$30,000 to $39,999",2,"2",4,"High school diploma or the equivalent (for example: GED)","2015-03-16 11:38:51","2015-03-16 11:38:36","2015-03-16 11:38:51","15sec",2,"Female","1996",1,"January",1,"Never married",4,"$30,000 to $39,999",4,"High school diploma or the equivalent (for example: GED)",3,"Self-employed",21,"Self-employed/entrepreneur",1,"None",3,"Caucasian/White",2,"Republican","2015-03-16 11:39:26","2015-03-16 11:38:51","2015-03-16 11:39:26","35sec"
132500,552,2015-03-16 11:29:10,NA,"experiment_Mar15_20","Y","A249TNDSY03Z7Y","2015-03-16 11:29:33","2015-03-16 11:29:12","2015-03-16 11:29:33","21sec",NA,NA,NA,"2015-03-16 11:29:33","2015-03-16 11:29:38","NAsec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132501,552,2015-03-16 11:29:17,NA,"experiment_Mar15_20","Y","A1YGSYTOGXCQY7","2015-03-16 11:29:56","2015-03-16 11:29:18","2015-03-16 11:29:56","38sec","Y","I'm currently able to save away a decent amount of money so having a 5% cut would cut into my savings, but not my lifestyle spending.","2015-03-16 11:30:39","2015-03-16 11:29:57","2015-03-16 11:30:39","42sec",NA,NA,NA,"2015-03-16 11:30:40","2015-03-16 11:30:42","NAsec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132502,552,2015-03-16 11:30:00,"3","experiment_Mar15_20","Y"," A2QJEZZWUPNL4A","2015-03-16 11:31:11","2015-03-16 11:30:01","2015-03-16 11:31:11","70sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","My personal finances are such that a decrease in income as described would be manageable though it would be tight. No changes would need to occur other than decreasing some discretionary spending. I.E. not eat out so much.","2015-03-16 11:33:54","2015-03-16 11:31:12","2015-03-16 11:33:54","162sec","N","I would not attempt to meet the need as the only way to do so would be through high interest loans. I would rather suffer not meeting the need.","2015-03-16 11:35:11","2015-03-16 11:33:54","2015-03-16 11:35:11","77sec","Y","The car would stay broken until I could pay cash. I do not take out loans for any reason. I may borrow a little from a friend but no institutional loans.","N","Y","very easy. I do not borrow money. I might hold a garage sale to create cash flow or take extra work. Worse comes to worse I would save the money and wait until my tax returns come in.","2015-03-16 11:39:20","2015-03-16 11:35:12","2015-03-16 11:39:20","248sec","opt_1","1.","N","no, I do not take out loans or finance purchases other than my mortgage. There is never a reason to do so. A fridge is a luxury and not a true necessity.","2015-03-16 11:40:56","2015-03-16 11:39:20","2015-03-16 11:40:56","96sec","Last year I had to use public transportation for a few weeks. The buses were timely and relatively cheap.","Ihad an issue at a school with one of my children. The matter was handled fairly and professionally.","2015-03-16 11:43:07","2015-03-16 11:40:57","2015-03-16 11:43:07","130sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"6","2015-03-16 11:46:25","2015-03-16 11:46:11","2015-03-16 11:46:25","14sec","3","2","1","1","1","2","4","1","3","2","4","1","4","4","2015-03-16 11:47:34","2015-03-16 11:46:25","2015-03-16 11:47:34","69sec",3,"$20,000 to $29,999",4,"4",5,"Some college, but not currently enrolled","2015-03-16 11:47:56","2015-03-16 11:47:34","2015-03-16 11:47:56","22sec",1,"Male","1967",8,"August",3,"Married",3,"$20,000 to $29,999",5,"Some college, but not currently enrolled",3,"Self-employed",21,"Self-employed/entrepreneur",4,"3",3,"Caucasian/White",3,"Independent","2015-03-16 11:48:53","2015-03-16 11:47:56","2015-03-16 11:48:53","57sec"
132503,552,2015-03-16 11:31:01,"4","experiment_Mar15_20","Y","A3NM5SP9NZ9BOJ","2015-03-16 11:31:17","2015-03-16 11:31:02","2015-03-16 11:31:17","15sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","I would be able to maintain my current lifestyle as I have a few hundred dollars of extra income from dividends on investments I could spend. Even though, yes, I might tighten up on some luxeries though.","2015-03-16 11:33:15","2015-03-16 11:31:17","2015-03-16 11:33:15","118sec","Y","I would be able to get that 2000.00 immediately from my brokerage account. The only bad part, it would come from an account that generates dividends. I would sacrifice by tightening up my spending and trying not to withdraw any more money for awhile from this account.","2015-03-16 11:34:57","2015-03-16 11:33:16","2015-03-16 11:34:57","101sec","Y","I could get this money from my regular checking account, it has a few thousand dollars in it, so I wouldn't have to liquidate other savings. ","N","N","I might be a little difficult, but I always keep a few thousand dollars in my regular checking account so I could make the withdraw without too much stress.","2015-03-16 11:37:32","2015-03-16 11:34:58","2015-03-16 11:37:32","154sec","opt_1","1.","Y","I'm not good at calculating, but the interest here looks to be around 20%, which seems a bit steep. I'd rather pay in cash, in fact that's what I'd do. I did do this last summer when we bought our new house in Idaho.","2015-03-16 11:38:56","2015-03-16 11:37:32","2015-03-16 11:38:56","84sec",NA,NA,NA,NA,NA,NA,"My credit union. I love them. They don't charge me monthly fees like a regular bank and often give me a 25.00 yearly loyalty gift, back to me. 
","Kaiser Permanente. This was my old health plan in California. They took good care of me and the billing was so transparent. 
","Winco. This is the market I shop at a lot. They are employee owned and have very good prices. ","Fred Meyer. This is another market, and they do have good specials and is a very clean market.","My brokerage account. They have very reasonable trading fees, an excellent checking account service. ","My gas company. They offer very reliable service to heat my home, and the bill is always reasonable. ","Your Health Idaho. This is my state health insurance exchange. I get my health insurance through them and there have not been any ""screw ups"" like on the federal exchange.","My new dentist: I went for a check up and they just said I needed a teeth cleaning, everything seemed fine. They did not try to do a lot of unneccessary work. ","My garbage service: They pick up my trash every week on a consistent basis. ","Toyota dealer service. I take my car here and they tell me everything is fine, not trying to do a bunch of extra work. ","2015-03-16 11:46:13","2015-03-16 11:38:57","2015-03-16 11:46:13","436sec",6,"6","2015-03-16 11:49:10","2015-03-16 11:48:50","2015-03-16 11:49:10","20sec","5","1","3","1","1","1","4","1","3","1","4","1","4","4","2015-03-16 11:50:22","2015-03-16 11:49:11","2015-03-16 11:50:22","71sec",6,"$50,000 to $59,999",2,"2",8,"Bachelor's degree (for example: BA, AB, BS)","2015-03-16 11:50:39","2015-03-16 11:50:23","2015-03-16 11:50:39","16sec",1,"Male","1960",7,"July",3,"Married",6,"$50,000 to $59,999",8,"Bachelor's degree (for example: BA, AB, BS)",8,"Retired",7,"Education/training/library",1,"None",3,"Caucasian/White",1,"Democrat","2015-03-16 11:51:48","2015-03-16 11:50:40","2015-03-16 11:51:48","68sec"
